S000006514	tA(AGC)J
S000007035	YJLWsigma1
S000007036	YJLWtau1
S000007039	YJLWTy4-1
S000003650	YJL114W
S000003649	YJL113W
S000007037	YJLWtau2
S000028445	ARS1008
S000007022	YJLCdelta3
S000006536	tD(GUC)J1
S000003648	YJL112W
S000003647	YJL111W
S000003646	YJL110C
S000003645	YJL109C
S000003644	YJL108C
S000003643	YJL107C
S000003642	YJL106W
S000003641	YJL105W
S000003640	YJL104W
S000006501	snR37
S000028446	ARS1009
S000003639	YJL103C
S000003638	YJL102W
S000006702	tR(ACG)J
S000003637	YJL101C
S000003636	YJL100W
S000003635	YJL099W
S000003634	YJL098W
S000003633	YJL097W
S000003632	YJL096W
S000077074	ETC3
S000003631	YJL095W
S000003630	YJL094C
S000003629	YJL093C
S000003628	YJL092W
S000003627	YJL091C
S000003626	YJL090C
S000003625	YJL089W
S000003624	YJL088W
S000003623	YJL087C
S000003621	YJL085W
S000003622	YJL086C
S000003620	YJL084C
S000003619	YJL083W
S000003618	YJL082W
S000003617	YJL081C
S000003616	YJL080C
S000003615	YJL079C
S000003614	YJL078C
S000028662	YJL077W-B
S000028661	YJL077W-A
S000003613	YJL077C
S000003612	YJL076W
S000003611	YJL075C
S000028447	ARS1010
S000003610	YJL074C
S000003609	YJL073W
S000003608	YJL072C
S000003607	YJL071W
S000003606	YJL070C
S000003605	YJL069C
S000003604	YJL068C
S000003603	YJL067W
S000003602	YJL066C
S000003600	YJL064W
S000003601	YJL065C
S000003599	YJL063C
S000007611	YJL062W-A
S000003598	YJL062W
S000003597	YJL061W
S000003596	YJL060W
S000003595	YJL059W
S000003594	YJL058C
S000003593	YJL057C
S000003592	YJL056C
S000003591	YJL055W
S000003590	YJL054W
S000003589	YJL053W
S000028448	ARS1011
S000007610	YJL052C-A
S000003588	YJL052W
S000003587	YJL051W
S000003586	YJL050W
S000003585	YJL049W
S000003584	YJL048C
S000028804	YJL047C-A
S000006451	snR60
S000003583	YJL047C
S000003582	YJL046W
S000006781	tY(GUA)J1
S000007024	YJLCdelta5
S000007023	YJLCdelta4
S000006714	tR(UCU)J1
S000006537	tD(GUC)J2
S000003581	YJL045W
S000003580	YJL044C
S000003579	YJL043W
S000003578	YJL042W
S000003577	YJL041W
S000003576	YJL039C
S000006538	tD(GUC)J3
S000006715	tR(UCU)J2
S000028449	ARS1012
S000007025	YJLCdelta6
S000028450	ARS1013
S000003575	YJL038C
S000003574	YJL037W
S000007026	YJLCdelta7
S000006759	tV(AAC)J
S000003573	YJL036W
S000003572	YJL035C
S000003571	YJL034W
S000003570	YJL033W
S000003569	YJL032W
S000003568	YJL031C
S000003567	YJL030W
S000003566	YJL029C
S000006661	tM(CAU)J1
S000003565	YJL028W
S000003564	YJL027C
S000003563	YJL026W
S000028660	YJL026C-A
S000003562	YJL025W
S000003561	YJL024C
S000006583	tG(GCC)J1
S000003559	YJL022W
S000003560	YJL023C
S000028659	YJL020W-A
S000003557	YJL020C
S000003556	YJL019W
S000003553	YJL016W
S000003552	YJL015C
S000003551	YJL014W
S000003550	YJL013C
S000003549	YJL012C
S000003548	YJL011C
S000006625	tK(CUU)J
S000006773	tW(CCA)J
S000007047	YJLWtau3
S000007029	YJLWdelta8
S000007030	YJLWdelta9
S000028451	ARS1014
S000003547	YJL010C
S000003546	YJL009W
S000003545	YJL008C
S000007038	YJLWtau4
S000007031	YJLWdelta10
S000006662	tM(CAU)J2
S000003544	YJL007C
S000003543	YJL006C
S000006650	tL(UAA)J
S000003542	YJL005W
S000003541	YJL004C
S000003540	YJL003W
S000003539	YJL002C
S000003538	YJL001W
S000006471	CEN10
S000003761	YJR001W
S000003762	YJR002W
S000003763	YJR003C
S000028452	ARS1015
S000003764	YJR004C
S000003765	YJR005W
S000028523	YJR005C-A
S000003766	YJR006W
S000003767	YJR007W
S000003768	YJR008W
S000028453	ARS1016
S000003769	YJR009C
S000003771	YJR010W
S000003770	YJR010C-A
S000028454	ARS1017
S000003772	YJR011C
S000003774	YJR013W
S000003773	YJR012C
S000003775	YJR014W
S000003776	YJR015W
S000003777	YJR016C
S000003779	YJR018W
S000003778	YJR017C
S000003781	YJR020W
S000003780	YJR019C
S000003782	YJR021C
S000003783	YJR022W
S000003784	YJR023C
S000003785	YJR024C
S000003786	YJR025C
S000007040	YJRWdelta11
S000007048	YJRWTy1-1
S000003787	YJR026W
S000003788	YJR027W
S000007041	YJRWdelta12
S000007049	YJRWTy1-2
S000003789	YJR028W
S000003790	YJR029W
S000007042	YJRWdelta13
S000003791	YJR030C
S000003792	YJR031C
S000003793	YJR032W
S000003794	YJR033C
S000003795	YJR034W
S000003796	YJR035W
S000003798	YJR037W
S000003797	YJR036C
S000003800	YJR039W
S000003799	YJR038C
S000003801	YJR040W
S000003802	YJR041C
S000003803	YJR042W
S000003804	YJR043C
S000006663	tM(CAU)J3
S000007043	YJRWdelta14
S000003805	YJR044C
S000003806	YJR045C
S000003807	YJR046W
S000006727	tS(AGA)J
S000003808	YJR047C
S000003809	YJR048W
S000003810	YJR049C
S000003811	YJR050W
S000003812	YJR051W
S000007032	YJRCdelta15
S000006584	tG(GCC)J2
S000003813	YJR052W
S000003814	YJR053W
S000003815	YJR054W
S000007033	YJRCdelta16
S000007044	YJRWdelta17
S000006707	tR(CCU)J
S000003816	YJR055W
S000028455	ARS1018
S000007045	YJRWdelta18
S000007034	YJRCdelta19
S000006539	tD(GUC)J4
S000003817	YJR056C
S000006782	tY(GUA)J2
S000007046	YJRWdelta20
S000003818	YJR057W
S000003819	YJR058C
S000003820	YJR059W
S000003821	YJR060W
S000003822	YJR061W
S000003823	YJR062C
S000003824	YJR063W
S000003825	YJR064W
S000003826	YJR065C
S000003827	YJR066W
S000003828	YJR067C
S000003829	YJR068W
S000003830	YJR069C
S000003832	YJR071W
S000003831	YJR070C
S000003833	YJR072C
S000003834	YJR073C
S000003835	YJR074W
S000003836	YJR075W
S000003837	YJR076C
S000003838	YJR077C
S000003839	YJR078W
S000003840	YJR079W
S000003841	YJR080C
S000003842	YJR082C
S000003843	YJR083C
S000003844	YJR084W
S000003845	YJR085C
S000003846	YJR086W
S000003847	YJR087W
S000003848	YJR088C
S000003849	YJR089W
S000003850	YJR090C
S000003851	YJR091C
S000003852	YJR092W
S000003853	YJR093C
S000003854	YJR094C
S000178119	IRT1
S000003855	YJR094W-A
S000003856	YJR095W
S000003857	YJR096W
S000003858	YJR097W
S000028456	ARS1019
S000003859	YJR098C
S000003860	YJR099W
S000003861	YJR100C
S000006654	tL(UAG)J
S000003862	YJR101W
S000003863	YJR102C
S000003864	YJR103W
S000003865	YJR104C
S000003866	YJR105W
S000003867	YJR106W
S000003868	YJR107W
S000003869	YJR108W
S000003870	YJR109C
S000003871	YJR110W
S000003872	YJR111C
S000003873	YJR112W
S000028513	YJR112W-A
S000003875	YJR114W
S000003874	YJR113C
S000003876	YJR115W
S000003877	YJR116W
S000003878	YJR117W
S000003879	YJR118C
S000003880	YJR119C
S000003881	YJR120W
S000003882	YJR121W
S000003883	YJR122W
S000003884	YJR123W
S000003885	YJR124C
S000028457	ARS1020
S000003886	YJR125C
S000003887	YJR126C
